Programme...:	MICH
Date........:	   202020-02-
Heure.......:	     2 11:12:
Colonnes....:	            3
Lignes......:	          727
D�calage....:	           17
Commentaires:	
P.abs.i.(mp):	 1.6077700E+5	P.cal.i.(�m):	 2.0141406E+0	V_min___(mV):	 3.9130434E+5	
P.abs.f.(mp):	 1.6150300E+5	P.cal.f.(�m):	 9.2174219E+0	V_max___(mV):	 3.3732292E+5	
Nbre_de_pts_:	 7.2700000E+2	D�lai___(ms):	 8.0000000E+1	Calibration_:	 1.0000000E+1	
Source......:	hg	
Filtre......:	aw
D�tecteur...:	a	
�ch._du_pico:	a	
Temps___(ms):	Pos.cal.(�m):	Tension_(mV):	
 9.2961810E+6	 2.0141406E+0	 3.6883244E+2	
 9.2962610E+6	 2.0240625E+0	 3.6455789E+2	
 9.2963410E+6	 2.0339844E+0	 3.7506106E+2	
 9.2964210E+6	 2.0439063E+0	 3.6089399E+2	
 9.2965010E+6	 2.0538281E+0	 3.8128969E+2	
 9.2965810E+6	 2.0637500E+0	 3.6406937E+2	
 9.2966610E+6	 2.0736719E+0	 3.6993161E+2	
 9.2967420E+6	 2.0835937E+0	 3.6089399E+2	
 9.2968220E+6	 2.0935156E+0	 3.6431363E+2	
 9.2969020E+6	 2.1034375E+0	 3.7518319E+2	
 9.2969870E+6	 2.1133594E+0	 3.7652662E+2	
 9.2970680E+6	 2.1232812E+0	 3.5747436E+2	
 9.2971480E+6	 2.1332031E+0	 3.8006839E+2	
 9.2972280E+6	 2.1431250E+0	 3.5405472E+2	
 9.2973080E+6	 2.1530469E+0	 3.7640449E+2	
 9.2973880E+6	 2.1629688E+0	 3.5185638E+2	
 9.2974680E+6	 2.1728906E+0	 3.7518319E+2	
 9.2975480E+6	 2.1828125E+0	 3.5735223E+2	
 9.2976280E+6	 2.1927344E+0	 3.5490963E+2	
 9.2977080E+6	 2.2026562E+0	 3.6565706E+2	
 9.2977880E+6	 2.2125781E+0	 3.6358085E+2	
 9.2978680E+6	 2.2225000E+0	 3.6419150E+2	
 9.2979480E+6	 2.2324219E+0	 3.5417685E+2	
 9.2980280E+6	 2.2423437E+0	 3.4391794E+2	
 9.2981080E+6	 2.2522656E+0	 3.6223742E+2	
 9.2981880E+6	 2.2621875E+0	 3.4196386E+2	
 9.2982680E+6	 2.2721094E+0	 3.5686371E+2	
 9.2983480E+6	 2.2820313E+0	 3.5295555E+2	
 9.2984280E+6	 2.2919531E+0	 3.3891061E+2	
 9.2985080E+6	 2.3018750E+0	 3.5906205E+2	
 9.2985880E+6	 2.3117969E+0	 3.3829996E+2	
 9.2986680E+6	 2.3217187E+0	 3.6284807E+2	
 9.2987480E+6	 2.3316406E+0	 3.5344407E+2	
 9.2988280E+6	 2.3415625E+0	 3.4489498E+2	
 9.2989080E+6	 2.3514844E+0	 3.6700049E+2	
 9.2989880E+6	 2.3614062E+0	 3.4758183E+2	
 9.2990680E+6	 2.3713281E+0	 3.6516854E+2	
 9.2991480E+6	 2.3812500E+0	 3.7530532E+2	
 9.2992280E+6	 2.3911719E+0	 3.5503176E+2	
 9.2993080E+6	 2.4010937E+0	 3.7921348E+2	
 9.2993880E+6	 2.4110156E+0	 3.5955057E+2	
 9.2994700E+6	 2.4209375E+0	 3.7457255E+2	
 9.2995500E+6	 2.4308594E+0	 3.8324377E+2	
 9.2996300E+6	 2.4407812E+0	 3.6016122E+2	
 9.2997100E+6	 2.4507031E+0	 3.7689301E+2	
 9.2997900E+6	 2.4606250E+0	 3.7115291E+2	
 9.2998700E+6	 2.4705469E+0	 3.5857353E+2	
 9.2999550E+6	 2.4804687E+0	 3.8238886E+2	
 9.3000350E+6	 2.4903906E+0	 3.7249634E+2	
 9.3001150E+6	 2.5003125E+0	 3.7237421E+2	
 9.3001950E+6	 2.5102344E+0	 3.5197851E+2	
 9.3002750E+6	 2.5201562E+0	 3.7396190E+2	
 9.3003590E+6	 2.5300781E+0	 3.4721544E+2	
 9.3004400E+6	 2.5400000E+0	 3.6809966E+2	
 9.3005200E+6	 2.5499219E+0	 3.4416220E+2	
 9.3006000E+6	 2.5598437E+0	 3.6980948E+2	
 9.3006800E+6	 2.5697656E+0	 3.6590132E+2	
 9.3007600E+6	 2.5796875E+0	 3.5100147E+2	
 9.3008400E+6	 2.5896094E+0	 3.5918418E+2	
 9.3009200E+6	 2.5995312E+0	 3.4306303E+2	
 9.3010000E+6	 2.6094531E+0	 3.6565706E+2	
 9.3010800E+6	 2.6193750E+0	 3.4611627E+2	
 9.3011600E+6	 2.6292969E+0	 3.5649732E+2	
 9.3012400E+6	 2.6392187E+0	 3.6419150E+2	
 9.3013200E+6	 2.6491406E+0	 3.4208599E+2	
 9.3014000E+6	 2.6590625E+0	 3.4428433E+2	
 9.3014840E+6	 2.6689844E+0	 3.4306303E+2	
 9.3015640E+6	 2.6789062E+0	 3.6822179E+2	
 9.3016440E+6	 2.6888281E+0	 3.4465072E+2	
 9.3017240E+6	 2.6987500E+0	 3.7017587E+2	
 9.3018040E+6	 2.7086719E+0	 3.4880313E+2	
 9.3018840E+6	 2.7185937E+0	 3.7530532E+2	
 9.3019640E+6	 2.7285156E+0	 3.6211529E+2	
 9.3020460E+6	 2.7384375E+0	 3.7286273E+2	
