Programme...:	MICH
Date........:	   202020-02-
Heure.......:	     2 11:02:
Colonnes....:	            3
Lignes......:	         7524
D�calage....:	           17
Commentaires:	
P.abs.i.(mp):	 1.6097800E+5	P.cal.i.(�m):	 4.0084375E+0	V_min___(mV):	 3.9924279E+5	
P.abs.f.(mp):	 1.6850100E+5	P.cal.f.(�m):	 7.8650703E+1	V_max___(mV):	 5.9355155E+4	
Nbre_de_pts_:	 7.5240000E+3	D�lai___(ms):	 8.0000000E+1	Calibration_:	 1.0000000E+1	
Source......:	na	
Filtre......:	as
D�tecteur...:	a	
�ch._du_pico:	a	
Temps___(ms):	Pos.cal.(�m):	Tension_(mV):	
 8.1248850E+6	 4.0084375E+0	 1.2933561E+2	
 8.1249650E+6	 4.0183594E+0	 1.2078652E+2	
 8.1250450E+6	 4.0282813E+0	 1.2066439E+2	
 8.1251250E+6	 4.0382031E+0	 1.0588666E+2	
 8.1252060E+6	 4.0481250E+0	 9.9291645E+1	
 8.1252860E+6	 4.0580469E+0	 9.6116267E+1	
 8.1253660E+6	 4.0679688E+0	 8.8788472E+1	
 8.1254460E+6	 4.0778906E+0	 8.9154862E+1	
 8.1255260E+6	 4.0878125E+0	 8.7567173E+1	
 8.1256060E+6	 4.0977344E+0	 8.9643382E+1	
 8.1256860E+6	 4.1076562E+0	 1.0271128E+2	
 8.1257660E+6	 4.1175781E+0	 1.0661944E+2	
 8.1258460E+6	 4.1275000E+0	 1.1614558E+2	
 8.1259260E+6	 4.1374219E+0	 1.2396190E+2	
 8.1260060E+6	 4.1473437E+0	 1.3812897E+2	
 8.1260860E+6	 4.1572656E+0	 1.5400586E+2	
 8.1261680E+6	 4.1671875E+0	 1.6890572E+2	
 8.1262510E+6	 4.1771094E+0	 1.8380557E+2	
 8.1263310E+6	 4.1870312E+0	 1.9748412E+2	
 8.1264110E+6	 4.1969531E+0	 2.1653639E+2	
 8.1264930E+6	 4.2068750E+0	 2.4572545E+2	
 8.1265730E+6	 4.2167969E+0	 2.6111382E+2	
 8.1266560E+6	 4.2267187E+0	 2.8236443E+2	
 8.1267360E+6	 4.2366406E+0	 3.1326333E+2	
 8.1268200E+6	 4.2465625E+0	 3.3243772E+2	
 8.1269020E+6	 4.2564844E+0	 3.4636053E+2	
 8.1269820E+6	 4.2664063E+0	 3.5295555E+2	
 8.1270640E+6	 4.2763281E+0	 3.5698584E+2	
 8.1271450E+6	 4.2862500E+0	 3.6822179E+2	
 8.1272250E+6	 4.2961719E+0	 3.4379581E+2	
 8.1273050E+6	 4.3060937E+0	 3.3023939E+2	
 8.1273850E+6	 4.3160156E+0	 3.0178308E+2	
 8.1274650E+6	 4.3259375E+0	 2.3571080E+2	
 8.1275450E+6	 4.3358594E+0	 2.0810942E+2	
 8.1276250E+6	 4.3457812E+0	 1.7659990E+2	
 8.1277050E+6	 4.3557031E+0	 1.5217391E+2	
 8.1277850E+6	 4.3656250E+0	 1.3812897E+2	
 8.1278650E+6	 4.3755469E+0	 1.1956522E+2	
 8.1279460E+6	 4.3854687E+0	 1.0332193E+2	
 8.1280260E+6	 4.3953906E+0	 9.3917929E+1	
 8.1281060E+6	 4.4053125E+0	 9.4162188E+1	
 8.1281860E+6	 4.4152344E+0	 9.8680995E+1	
 8.1282660E+6	 4.4251562E+0	 1.0490962E+2	
 8.1283460E+6	 4.4350781E+0	 1.2909135E+2	
 8.1284260E+6	 4.4450000E+0	 1.4252564E+2	
 8.1285060E+6	 4.4549219E+0	 1.7415731E+2	
 8.1285860E+6	 4.4648437E+0	 1.8978994E+2	
 8.1286690E+6	 4.4747656E+0	 2.8138739E+2	
 8.1287490E+6	 4.4846875E+0	 2.8297508E+2	
 8.1288290E+6	 4.4946094E+0	 3.0190521E+2	
 8.1289090E+6	 4.5045312E+0	 2.9750854E+2	
 8.1289890E+6	 4.5144531E+0	 3.3036152E+2	
 8.1290690E+6	 4.5243750E+0	 3.4611627E+2	
 8.1291490E+6	 4.5342969E+0	 3.4294090E+2	
 8.1292290E+6	 4.5442187E+0	 3.5637519E+2	
 8.1293090E+6	 4.5541406E+0	 3.3817783E+2	
 8.1293890E+6	 4.5640625E+0	 3.4037617E+2	
 8.1294690E+6	 4.5739844E+0	 3.2413289E+2	
 8.1295490E+6	 4.5839063E+0	 3.0679041E+2	
 8.1296290E+6	 4.5938281E+0	 2.9799706E+2	
 8.1297090E+6	 4.6037500E+0	 2.6587689E+2	
 8.1297890E+6	 4.6136719E+0	 2.5525159E+2	
 8.1298750E+6	 4.6235937E+0	 2.0359062E+2	
 8.1299550E+6	 4.6335156E+0	 1.8185149E+2	
 8.1300350E+6	 4.6434375E+0	 1.4973131E+2	
 8.1301150E+6	 4.6533594E+0	 1.2896922E+2	
 8.1301950E+6	 4.6632812E+0	 1.1871031E+2	
 8.1302750E+6	 4.6732031E+0	 1.0552027E+2	
 8.1303550E+6	 4.6831250E+0	 1.1150464E+2	
 8.1304350E+6	 4.6930469E+0	 1.0942844E+2	
 8.1305170E+6	 4.7029687E+0	 1.2286273E+2	
 8.1305970E+6	 4.7128906E+0	 1.3422081E+2	
 8.1306770E+6	 4.7228125E+0	 1.4154860E+2	
 8.1307570E+6	 4.7327344E+0	 1.6170006E+2	
 8.1308420E+6	 4.7426562E+0	 1.8502687E+2	
 8.1309220E+6	 4.7525781E+0	 2.0578896E+2	
 8.1310020E+6	 4.7625000E+0	 2.1336101E+2	
 8.1310820E+6	 4.7724219E+0	 2.3595506E+2	
 8.1311620E+6	 4.7823437E+0	 2.5622863E+2	
 8.1312420E+6	 4.7922656E+0	 2.5915974E+2	
 8.1313220E+6	 4.8021875E+0	 2.9018074E+2	
 8.1314020E+6	 4.8121094E+0	 2.9360038E+2	
 8.1314820E+6	 4.8220313E+0	 3.1204200E+2	
 8.1315620E+6	 4.8319531E+0	 3.2462141E+2	
 8.1316420E+6	 4.8418750E+0	 3.3292624E+2	
 8.1317220E+6	 4.8517969E+0	 3.5600880E+2	
 8.1318020E+6	 4.8617187E+0	 3.4440646E+2	
 8.1318860E+6	 4.8716406E+0	 3.4574988E+2	
 8.1319660E+6	 4.8815625E+0	 3.2755253E+2	
 8.1320460E+6	 4.8914844E+0	 3.0642402E+2	
 8.1321260E+6	 4.9014062E+0	 2.7027357E+2	
 8.1322060E+6	 4.9113281E+0	 2.5329751E+2	
 8.1322860E+6	 4.9212500E+0	 2.1494870E+2	
 8.1323710E+6	 4.9311719E+0	 1.8258427E+2	
 8.1324510E+6	 4.9410937E+0	 1.5119687E+2	
 8.1325310E+6	 4.9510156E+0	 1.3153395E+2	
 8.1326110E+6	 4.9609375E+0	 1.0136785E+2	
 8.1326910E+6	 4.9708594E+0	 9.3673669E+1	
 8.1327710E+6	 4.9807812E+0	 9.9169515E+1	
 8.1328510E+6	 4.9907031E+0	 1.0026868E+2	
 8.1329310E+6	 5.0006250E+0	 1.0930631E+2	
 8.1330110E+6	 5.0105469E+0	 1.2359551E+2	
 8.1330910E+6	 5.0204688E+0	 1.3629702E+2	
 8.1331710E+6	 5.0303906E+0	 1.5889107E+2	
 8.1332510E+6	 5.0403125E+0	 1.7122619E+2	
 8.1333310E+6	 5.0502344E+0	 2.0627747E+2	
 8.1334110E+6	 5.0601563E+0	 2.2325355E+2	
 8.1334910E+6	 5.0700781E+0	 2.5219834E+2	
 8.1335710E+6	 5.0800000E+0	 2.7625793E+2	
 8.1336510E+6	 5.0899219E+0	 2.8651685E+2	
 8.1337310E+6	 5.0998437E+0	 2.9824132E+2	
 8.1338150E+6	 5.1097656E+0	 3.2388863E+2	
 8.1338950E+6	 5.1196875E+0	 3.4660479E+2	
 8.1339750E+6	 5.1296094E+0	 3.4404007E+2	
 8.1340550E+6	 5.1395312E+0	 3.6455789E+2	
 8.1341350E+6	 5.1494531E+0	 3.6040547E+2	
 8.1342150E+6	 5.1593750E+0	 3.7603810E+2	
 8.1342950E+6	 5.1692969E+0	 3.6443576E+2	
 8.1343750E+6	 5.1792187E+0	 3.6138251E+2	
 8.1344550E+6	 5.1891406E+0	 3.6480215E+2	
 8.1345350E+6	 5.1990625E+0	 3.3988765E+2	
 8.1346150E+6	 5.2089844E+0	 3.3549097E+2	
 8.1346950E+6	 5.2189062E+0	 3.2046899E+2	
 8.1347750E+6	 5.2288281E+0	 3.0178308E+2	
 8.1348550E+6	 5.2387500E+0	 2.9189056E+2	
 8.1349350E+6	 5.2486719E+0	 2.5928187E+2	
 8.1350150E+6	 5.2585938E+0	 2.2386420E+2	
 8.1350950E+6	 5.2685156E+0	 1.8795799E+2	
 8.1351790E+6	 5.2784375E+0	 1.6585247E+2	
 8.1352590E+6	 5.2883594E+0	 1.3666341E+2	
 8.1353390E+6	 5.2982812E+0	 1.2420616E+2	
