Programme...:	MICH
Date........:	   202020-02-
Heure.......:	     2 11:41:
Colonnes....:	            3
Lignes......:	         3047
D�calage....:	           17
Commentaires:	
P.abs.i.(mp):	 1.5539400E+5	P.cal.i.(�m):	-5.1395313E+1	V_min___(mV):	 3.3988765E+5	
P.abs.f.(mp):	 2.1631400E+5	P.cal.f.(�m):	 5.5304531E+2	V_max___(mV):	 6.9614068E+4	
Nbre_de_pts_:	 3.0470000E+3	D�lai___(ms):	 8.0000000E+1	Calibration_:	 1.0000000E+1	
Source......:	na	
Filtre......:	g	
D�tecteur...:	fg
�ch._du_pico:	f	
Temps___(ms):	Pos.cal.(�m):	Tension_(mV):	
 1.0843294E+7	-5.1395313E+1	 1.9711773E+2	
 1.0843374E+7	-5.1196875E+1	 1.7953102E+2	
 1.0843454E+7	-5.0998437E+1	 2.7992183E+2	
 1.0843534E+7	-5.0800000E+1	 1.2286273E+2	
 1.0843614E+7	-5.0601562E+1	 1.3690767E+2	
 1.0843694E+7	-5.0403125E+1	 1.6805081E+2	
 1.0843774E+7	-5.0204687E+1	 1.2811431E+2	
 1.0843854E+7	-5.0006250E+1	 2.5280899E+2	
 1.0843934E+7	-4.9807812E+1	 1.5669273E+2	
 1.0844014E+7	-4.9609375E+1	 1.1089399E+2	
 1.0844094E+7	-4.9410938E+1	 2.4926722E+2	
 1.0844174E+7	-4.9212500E+1	 1.2738153E+2	
 1.0844254E+7	-4.9014063E+1	 1.2493894E+2	
 1.0844334E+7	-4.8815625E+1	 2.8786027E+2	
 1.0844414E+7	-4.8617187E+1	 1.6841720E+2	
 1.0844494E+7	-4.8418750E+1	 1.1858818E+2	
 1.0844574E+7	-4.8220312E+1	 2.9005861E+2	
 1.0844654E+7	-4.8021875E+1	 2.5158769E+2	
 1.0844734E+7	-4.7823437E+1	 1.4338055E+2	
 1.0844814E+7	-4.7625000E+1	 2.2166586E+2	
 1.0844894E+7	-4.7426563E+1	 2.1543722E+2	
 1.0844974E+7	-4.7228125E+1	 2.1983391E+2	
 1.0845054E+7	-4.7029688E+1	 3.0569124E+2	
 1.0845134E+7	-4.6831250E+1	 1.8124084E+2	
 1.0845214E+7	-4.6632812E+1	 2.8089887E+2	
 1.0845294E+7	-4.6434375E+1	 2.6685393E+2	
 1.0845374E+7	-4.6235937E+1	 1.0881779E+2	
 1.0845454E+7	-4.6037500E+1	 3.0630189E+2	
 1.0845534E+7	-4.5839062E+1	 2.9457742E+2	
 1.0845614E+7	-4.5640625E+1	 1.2628236E+2	
 1.0845694E+7	-4.5442188E+1	 2.8944796E+2	
 1.0845774E+7	-4.5243750E+1	 2.2447485E+2	
 1.0845854E+7	-4.5045313E+1	 2.6819736E+2	
 1.0845934E+7	-4.4846875E+1	 2.9360038E+2	
 1.0846014E+7	-4.4648437E+1	 1.6817294E+2	
 1.0846094E+7	-4.4450000E+1	 2.4902296E+2	
 1.0846174E+7	-4.4251562E+1	 2.8737175E+2	
 1.0846254E+7	-4.4053125E+1	 1.5388373E+2	
 1.0846334E+7	-4.3854687E+1	 3.0031753E+2	
 1.0846414E+7	-4.3656250E+1	 1.9443087E+2	
 1.0846494E+7	-4.3457813E+1	 2.0359062E+2	
 1.0846574E+7	-4.3259375E+1	 2.6795310E+2	
 1.0846654E+7	-4.3060938E+1	 2.4169517E+2	
 1.0846734E+7	-4.2862500E+1	 2.3571080E+2	
 1.0846814E+7	-4.2664062E+1	 2.7613580E+2	
 1.0846894E+7	-4.2465625E+1	 1.0478749E+2	
 1.0846974E+7	-4.2267187E+1	 2.4267220E+2	
 1.0847054E+7	-4.2068750E+1	 2.8749388E+2	
 1.0847134E+7	-4.1870312E+1	 1.2029800E+2	
 1.0847214E+7	-4.1671875E+1	 2.3607719E+2	
 1.0847294E+7	-4.1473438E+1	 1.3886175E+2	
 1.0847374E+7	-4.1275000E+1	 2.2813874E+2	
 1.0847454E+7	-4.1076563E+1	 2.9738641E+2	
 1.0847534E+7	-4.0878125E+1	 1.2652662E+2	
 1.0847614E+7	-4.0679687E+1	 1.8551539E+2	
 1.0847694E+7	-4.0481250E+1	 2.8969222E+2	
 1.0847774E+7	-4.0282812E+1	 2.1311675E+2	
 1.0847854E+7	-4.0084375E+1	 2.3851979E+2	
 1.0847934E+7	-3.9885937E+1	 1.2237421E+2	
 1.0848014E+7	-3.9687500E+1	 2.4987787E+2	
 1.0848094E+7	-3.9489063E+1	 2.7271616E+2	
 1.0848174E+7	-3.9290625E+1	 1.0600879E+2	
 1.0848254E+7	-3.9092188E+1	 2.9653150E+2	
 1.0848334E+7	-3.8893750E+1	 1.3690767E+2	
 1.0848414E+7	-3.8695312E+1	 2.8810453E+2	
 1.0848494E+7	-3.8496875E+1	 2.2117734E+2	
 1.0848574E+7	-3.8298437E+1	 1.1968735E+2	
 1.0848654E+7	-3.8100000E+1	 3.0801171E+2	
 1.0848734E+7	-3.7901562E+1	 1.0124572E+2	
 1.0848814E+7	-3.7703125E+1	 2.6929653E+2	
 1.0848894E+7	-3.7504688E+1	 1.2420616E+2	
 1.0848974E+7	-3.7306250E+1	 2.2435272E+2	
 1.0849054E+7	-3.7107813E+1	 2.0334636E+2	
