Programme...:	MICH
Date........:	   202020-02-
Heure.......:	     5 11:13:
Colonnes....:	            3
Lignes......:	          206
D�calage....:	           17
Commentaires:
P.abs.i.(mp):	 1.6063100E+5	P.cal.i.(�m):	 9.9218750E-2	V_min___(mV):	 1.8661456E+6
P.abs.f.(mp):	 1.6083600E+5	P.cal.f.(�m):	 2.0439062E+1	V_max___(mV):	 1.0014655E+5
Nbre_de_pts_:	 2.0600000E+2	D�lai___(ms):	 8.0000000E+1	Calibration_:	 1.0000000E+0
Source......:	laser He-ne
Filtre......:	g
D�tecteur...:	g
�ch._du_pico:	q
Temps___(ms):	Pos.cal.(�m):	Tension_(mV):	
 1.0046679E+7	 9.9218750E-2	 1.7318026E+3	
 1.0046759E+7	 1.9843750E-1	 1.8026381E+3	
 1.0046843E+7	 2.9765625E-1	 1.8563752E+3	
 1.0046926E+7	 3.9687500E-1	 1.8661456E+3	
 1.0047006E+7	 4.9609375E-1	 1.8343918E+3	
 1.0047086E+7	 5.9531250E-1	 1.7562287E+3	
 1.0047166E+7	 6.9453125E-1	 1.6389838E+3	
 1.0047248E+7	 7.9375000E-1	 1.5168539E+3	
 1.0047331E+7	 8.9296875E-1	 1.3336591E+3	
 1.0047416E+7	 9.9218750E-1	 1.2335124E+3	
 1.0047505E+7	 1.0914062E+0	 6.9614071E+2	
 1.0047585E+7	 1.1906250E+0	 6.6927212E+2	
 1.0047665E+7	 1.2898437E+0	 5.8133852E+2	
 1.0047747E+7	 1.3890625E+0	 4.5920861E+2	
 1.0047827E+7	 1.4882812E+0	 3.2975087E+2	
 1.0047914E+7	 1.5875000E+0	 2.1250610E+2	
 1.0047994E+7	 1.6867187E+0	 1.3190034E+2	
 1.0048074E+7	 1.7859375E+0	 1.0991696E+2	
 1.0048154E+7	 1.8851562E+0	 1.0991696E+2	
 1.0048234E+7	 1.9843750E+0	 1.3190034E+2	
 1.0048314E+7	 2.0835937E+0	 2.0273571E+2	
 1.0048397E+7	 2.1828125E+0	 2.4181730E+2	
 1.0048477E+7	 2.2820312E+0	 3.1753787E+2	
 1.0048560E+7	 2.3812500E+0	 4.6653640E+2	
 1.0048640E+7	 2.4804687E+0	 5.7889593E+2	
 1.0048720E+7	 2.5796875E+0	 8.5979480E+2	
 1.0048807E+7	 2.6789062E+0	 1.0918417E+3	
 1.0048887E+7	 2.7781250E+0	 1.2432828E+3	
 1.0048971E+7	 2.8773437E+0	 1.4240352E+3	
 1.0049051E+7	 2.9765625E+0	 1.5388373E+3	
 1.0049136E+7	 3.0757812E+0	 1.6731802E+3	
 1.0049223E+7	 3.1750000E+0	 1.7513435E+3	
 1.0049307E+7	 3.2742187E+0	 1.7757695E+3	
 1.0049387E+7	 3.3734375E+0	 1.7611139E+3	
 1.0049471E+7	 3.4726562E+0	 1.7269174E+3	
 1.0049551E+7	 3.5718750E+0	 1.6707376E+3	
 1.0049634E+7	 3.6710937E+0	 1.6243283E+3	
 1.0049721E+7	 3.7703125E+0	 1.4680020E+3	
 1.0049809E+7	 3.8695312E+0	 1.3751832E+3	
 1.0049889E+7	 3.9687500E+0	 1.2261846E+3	
 1.0049974E+7	 4.0679687E+0	 1.0942843E+3	
 1.0050060E+7	 4.1671875E+0	 1.0087934E+3	
 1.0050142E+7	 4.2664063E+0	 9.6238399E+2	
