Programme...:	MICH
Date........:	   202020-02-
Heure.......:	     5 11:15:
Colonnes....:	            3
Lignes......:	          788
D�calage....:	           17
Commentaires:	
P.abs.i.(mp):	 1.6083700E+5	P.cal.i.(�m):	 9.9218750E-2	V_min___(mV):	 1.9125550E+6	
P.abs.f.(mp):	 1.6162400E+5	P.cal.f.(�m):	 7.8184375E+1	V_max___(mV):	 1.0503175E+5	
Nbre_de_pts_:	 7.8800000E+2	D�lai___(ms):	 8.0000000E+1	Calibration_:	 1.0000000E+0	
Source......:	laser He-ne	
Filtre......:	g	
D�tecteur...:	g	
�ch._du_pico:	q
Temps___(ms):	Pos.cal.(�m):	Tension_(mV):	
 1.0160921E+7	 9.9218750E-2	 2.1983391E+2	
 1.0161005E+7	 1.9843750E-1	 1.6609673E+2	
 1.0161085E+7	 2.9765625E-1	 1.2945774E+2	
 1.0161165E+7	 3.9687500E-1	 1.0991696E+2	
 1.0161245E+7	 4.9609375E-1	 1.0503175E+2	
 1.0161325E+7	 5.9531250E-1	 1.1724475E+2	
 1.0161405E+7	 6.9453125E-1	 1.5388373E+2	
 1.0161485E+7	 7.9375000E-1	 1.8563752E+2	
 1.0161565E+7	 8.9296875E-1	 2.2716171E+2	
 1.0161645E+7	 9.9218750E-1	 3.2242307E+2	
 1.0161725E+7	 1.0914062E+0	 4.0547141E+2	
 1.0161811E+7	 1.1906250E+0	 6.0576451E+2	
 1.0161895E+7	 1.2898437E+0	 7.9628724E+2	
 1.0161978E+7	 1.3890625E+0	 9.3795800E+2	
 1.0162061E+7	 1.4882812E+0	 1.1113825E+3	
 1.0162144E+7	 1.5875000E+0	 1.1919882E+3	
 1.0162226E+7	 1.6867187E+0	 1.3751832E+3	
 1.0162310E+7	 1.7859375E+0	 1.4484612E+3	
 1.0162393E+7	 1.8851562E+0	 1.5950171E+3	
 1.0162473E+7	 1.9843750E+0	 1.6976062E+3	
 1.0162558E+7	 2.0835937E+0	 1.8368344E+3	
 1.0162638E+7	 2.1828125E+0	 1.8197362E+3	
 1.0162724E+7	 2.2820312E+0	 1.8978994E+3	
 1.0162804E+7	 2.3812500E+0	 1.9076698E+3	
 1.0162884E+7	 2.4804687E+0	 1.9027846E+3	
 1.0162968E+7	 2.5796875E+0	 1.8881290E+3	
 1.0163052E+7	 2.6789062E+0	 1.8539326E+3	
 1.0163132E+7	 2.7781250E+0	 1.8050807E+3	
 1.0163212E+7	 2.8773437E+0	 1.7586713E+3	
 1.0163293E+7	 2.9765625E+0	 1.6707376E+3	
 1.0163375E+7	 3.0757812E+0	 1.5999023E+3	
 1.0163460E+7	 3.1750000E+0	 1.5681485E+3	
