Programme...:	MICH
Date........:	   202020-02-
Heure.......:	     5 11:09:
Colonnes....:	            3
Lignes......:	          805
D�calage....:	           17
Commentaires:	
P.abs.i.(mp):	 1.6084900E+5	P.cal.i.(�m):	 9.9218750E-3	V_min___(mV):	 1.4264778E+6	
P.abs.f.(mp):	 1.6165300E+5	P.cal.f.(�m):	 7.9871094E+0	V_max___(mV):	 8.3292621E+5	
Nbre_de_pts_:	 8.0500000E+2	D�lai___(ms):	 8.0000000E+1	Calibration_:	 1.0000000E+0	
Source......:	lumi�re blanche	
Filtre......:	g	
D�tecteur...:	g	
�ch._du_pico:	q
Temps___(ms):	Pos.cal.(�m):	Tension_(mV):	
 9.1673260E+6	 9.9218750E-3	 1.1431363E+3	
 9.1674060E+6	 1.9843750E-2	 1.1431363E+3	
 9.1674860E+6	 2.9765625E-2	 1.1406937E+3	
 9.1675660E+6	 3.9687500E-2	 1.1406937E+3	
 9.1676460E+6	 4.9609375E-2	 1.1406937E+3	
 9.1677260E+6	 5.9531250E-2	 1.1431363E+3	
 9.1678060E+6	 6.9453125E-2	 1.1406937E+3	
 9.1678860E+6	 7.9375000E-2	 1.1406937E+3	
 9.1679660E+6	 8.9296875E-2	 1.1406937E+3	
 9.1680460E+6	 9.9218750E-2	 1.1406937E+3	
 9.1681260E+6	 1.0914062E-1	 1.1431363E+3	
 9.1682060E+6	 1.1906250E-1	 1.1431363E+3	
 9.1682860E+6	 1.2898437E-1	 1.1431363E+3	
 9.1683660E+6	 1.3890625E-1	 1.1406937E+3	
 9.1684460E+6	 1.4882813E-1	 1.1406937E+3	
 9.1685260E+6	 1.5875000E-1	 1.1431363E+3	
 9.1686060E+6	 1.6867187E-1	 1.1455789E+3	
 9.1686860E+6	 1.7859375E-1	 1.1431363E+3	
 9.1687660E+6	 1.8851562E-1	 1.1406937E+3	
 9.1688460E+6	 1.9843750E-1	 1.1431363E+3	
 9.1689260E+6	 2.0835937E-1	 1.1431363E+3	
 9.1690060E+6	 2.1828125E-1	 1.1455789E+3	
 9.1690860E+6	 2.2820312E-1	 1.1431363E+3	
 9.1691660E+6	 2.3812500E-1	 1.1431363E+3	
 9.1692460E+6	 2.4804687E-1	 1.1431363E+3	
 9.1693260E+6	 2.5796875E-1	 1.1455789E+3	
 9.1694060E+6	 2.6789062E-1	 1.1455789E+3	
 9.1694860E+6	 2.7781250E-1	 1.1431363E+3	
 9.1695660E+6	 2.8773437E-1	 1.1455789E+3	
 9.1696460E+6	 2.9765625E-1	 1.1455789E+3	
 9.1697260E+6	 3.0757812E-1	 1.1480215E+3	
 9.1698060E+6	 3.1750000E-1	 1.1455789E+3	
 9.1698860E+6	 3.2742187E-1	 1.1455789E+3	
 9.1699660E+6	 3.3734375E-1	 1.1455789E+3	
 9.1700460E+6	 3.4726563E-1	 1.1455789E+3	
 9.1701260E+6	 3.5718750E-1	 1.1431363E+3	
 9.1702060E+6	 3.6710937E-1	 1.1431363E+3	
 9.1702860E+6	 3.7703125E-1	 1.1431363E+3	
 9.1703660E+6	 3.8695312E-1	 1.1406937E+3	
 9.1704460E+6	 3.9687500E-1	 1.1406937E+3	
 9.1705260E+6	 4.0679687E-1	 1.1406937E+3	
 9.1706060E+6	 4.1671875E-1	 1.1406937E+3	
 9.1706860E+6	 4.2664062E-1	 1.1406937E+3	
 9.1707660E+6	 4.3656250E-1	 1.1382511E+3	
 9.1708460E+6	 4.4648437E-1	 1.1382511E+3	
 9.1709260E+6	 4.5640625E-1	 1.1382511E+3	
