Programme...:	MICH
Date........:	   202020-02-
Heure.......:	     2 10:03:
Colonnes....:	            3
Lignes......:	          709
D�calage....:	           17
Commentaires:	
P.abs.i.(mp):	 1.6077500E+5	P.cal.i.(�m):	 1.9942969E+0	V_min___(mV):	 5.1294577E+5	
P.abs.f.(mp):	 1.6148300E+5	P.cal.f.(�m):	 9.0189844E+0	V_max___(mV):	 4.1524181E+5	
Nbre_de_pts_:	 7.0900000E+2	D�lai___(ms):	 8.0000000E+1	Calibration_:	 1.0000000E+1	
Source......:	mercure	
Filtre......:	c	
D�tecteur...:	cr
�ch._du_pico:	c	
Temps___(ms):	Pos.cal.(�m):	Tension_(mV):	
 5.1551470E+6	 1.9942969E+0	 4.9096239E+2	
 5.1552270E+6	 2.0042187E+0	 4.6897900E+2	
 5.1553070E+6	 2.0141406E+0	 4.7630680E+2	
 5.1553910E+6	 2.0240625E+0	 4.7874939E+2	
 5.1554710E+6	 2.0339844E+0	 4.9584758E+2	
 5.1555510E+6	 2.0439063E+0	 4.6165121E+2	
 5.1556310E+6	 2.0538281E+0	 4.9096239E+2	
 5.1557110E+6	 2.0637500E+0	 4.7386420E+2	
 5.1557910E+6	 2.0736719E+0	 4.5188081E+2	
 5.1558750E+6	 2.0835937E+0	 4.4455302E+2	
 5.1559550E+6	 2.0935156E+0	 4.8119199E+2	
 5.1560350E+6	 2.1034375E+0	 4.4699562E+2	
 5.1561150E+6	 2.1133594E+0	 4.5188081E+2	
 5.1561950E+6	 2.1232812E+0	 4.6409380E+2	
 5.1562750E+6	 2.1332031E+0	 4.2501220E+2	
 5.1563550E+6	 2.1431250E+0	 4.5432341E+2	
 5.1564390E+6	 2.1530469E+0	 4.1768441E+2	
 5.1565190E+6	 2.1629688E+0	 4.2012700E+2	
 5.1566000E+6	 2.1728906E+0	 4.2989740E+2	
 5.1566800E+6	 2.1828125E+0	 4.4211042E+2	
 5.1567600E+6	 2.1927344E+0	 4.1524181E+2	
 5.1568400E+6	 2.2026562E+0	 4.4211042E+2	
 5.1569200E+6	 2.2125781E+0	 4.3722519E+2	
 5.1570000E+6	 2.2225000E+0	 4.2012700E+2	
 5.1570800E+6	 2.2324219E+0	 4.2256960E+2	
 5.1571620E+6	 2.2423437E+0	 4.4455302E+2	
 5.1572430E+6	 2.2522656E+0	 4.2989740E+2	
 5.1573230E+6	 2.2621875E+0	 4.6165121E+2	
 5.1574030E+6	 2.2721094E+0	 4.5920861E+2	
 5.1574830E+6	 2.2820313E+0	 4.4455302E+2	
 5.1575630E+6	 2.2919531E+0	 4.8607719E+2	
 5.1576430E+6	 2.3018750E+0	 4.5188081E+2	
 5.1577230E+6	 2.3117969E+0	 4.9340498E+2	
 5.1578070E+6	 2.3217187E+0	 4.6409380E+2	
 5.1578920E+6	 2.3316406E+0	 4.6409380E+2	
 5.1579750E+6	 2.3415625E+0	 4.8119199E+2	
 5.1580550E+6	 2.3514844E+0	 4.9340498E+2	
 5.1581350E+6	 2.3614062E+0	 4.5676601E+2	
 5.1582180E+6	 2.3713281E+0	 4.8607719E+2	
 5.1582980E+6	 2.3812500E+0	 4.8363459E+2	
 5.1583780E+6	 2.3911719E+0	 4.5676601E+2	
 5.1584580E+6	 2.4010937E+0	 4.4943821E+2	
 5.1585380E+6	 2.4110156E+0	 4.6165121E+2	
 5.1586230E+6	 2.4209375E+0	 4.5676601E+2	
 5.1587030E+6	 2.4308594E+0	 4.3722519E+2	
 5.1587880E+6	 2.4407812E+0	 4.3234000E+2	
 5.1588700E+6	 2.4507031E+0	 4.5188081E+2	
 5.1589500E+6	 2.4606250E+0	 4.2501220E+2	
 5.1590300E+6	 2.4705469E+0	 4.5188081E+2	
 5.1591100E+6	 2.4804687E+0	 4.2012700E+2	
 5.1591900E+6	 2.4903906E+0	 4.4699562E+2	
 5.1592730E+6	 2.5003125E+0	 4.2012700E+2	
 5.1593530E+6	 2.5102344E+0	 4.4455302E+2	
 5.1594330E+6	 2.5201562E+0	 4.4699562E+2	
 5.1595130E+6	 2.5300781E+0	 4.4943821E+2	
 5.1595930E+6	 2.5400000E+0	 4.2745480E+2	
 5.1596730E+6	 2.5499219E+0	 4.6653640E+2	
 5.1597530E+6	 2.5598437E+0	 4.4211042E+2	
 5.1598330E+6	 2.5697656E+0	 4.5676601E+2	
 5.1599130E+6	 2.5796875E+0	 4.6409380E+2	
 5.1599940E+6	 2.5896094E+0	 4.4699562E+2	
 5.1600740E+6	 2.5995312E+0	 4.7142160E+2	
 5.1601540E+6	 2.6094531E+0	 4.7142160E+2	
 5.1602340E+6	 2.6193750E+0	 4.4699562E+2	
 5.1603140E+6	 2.6292969E+0	 4.8607719E+2	
 5.1603940E+6	 2.6392187E+0	 4.4943821E+2	
 5.1604740E+6	 2.6491406E+0	 4.8851979E+2	
 5.1605540E+6	 2.6590625E+0	 4.6653640E+2	
 5.1606340E+6	 2.6689844E+0	 4.6165121E+2	
 5.1607140E+6	 2.6789062E+0	 4.8363459E+2	
 5.1607940E+6	 2.6888281E+0	 4.4943821E+2	
 5.1608740E+6	 2.6987500E+0	 4.8363459E+2	
 5.1609540E+6	 2.7086719E+0	 4.6653640E+2	
 5.1610380E+6	 2.7185937E+0	 4.6897900E+2	
 5.1611180E+6	 2.7285156E+0	 4.4455302E+2	
 5.1611980E+6	 2.7384375E+0	 4.7874939E+2	
 5.1612780E+6	 2.7483594E+0	 4.4699562E+2	
 5.1613580E+6	 2.7582813E+0	 4.5432341E+2	
 5.1614380E+6	 2.7682031E+0	 4.6409380E+2	
 5.1615180E+6	 2.7781250E+0	 4.4211042E+2	
 5.1615980E+6	 2.7880469E+0	 4.6653640E+2	
 5.1616780E+6	 2.7979687E+0	 4.3234000E+2	
 5.1617580E+6	 2.8078906E+0	 4.6165121E+2	
 5.1618430E+6	 2.8178125E+0	 4.4943821E+2	
 5.1619230E+6	 2.8277344E+0	 4.6409380E+2	
 5.1620030E+6	 2.8376562E+0	 4.3234000E+2	
 5.1620840E+6	 2.8475781E+0	 4.4211042E+2	
 5.1621640E+6	 2.8575000E+0	 4.5676601E+2	
 5.1622450E+6	 2.8674219E+0	 4.6653640E+2	
 5.1623250E+6	 2.8773438E+0	 4.4699562E+2	
